Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 31, 2024",$0.445,$0.4466,$0.4288,$0.4317,"$57,930,305","$817,183,114"
"Jan 30, 2024",$0.4589,$0.4608,$0.4439,$0.445,"$60,824,795","$842,432,406"
"Jan 29, 2024",$0.4456,$0.4602,$0.44,$0.4589,"$44,985,276","$868,770,844"
"Jan 28, 2024",$0.4544,$0.4627,$0.4425,$0.4456,"$43,612,505","$843,526,092"
"Jan 27, 2024",$0.4511,$0.4558,$0.4427,$0.4544,"$41,498,420","$860,171,123"
"Jan 26, 2024",$0.4334,$0.4514,$0.429,$0.451,"$52,654,482","$853,824,560"
"Jan 25, 2024",$0.4392,$0.4395,$0.4264,$0.4334,"$47,105,756","$820,443,782"
"Jan 24, 2024",$0.4248,$0.4449,$0.4215,$0.4392,"$66,690,754","$831,506,291"
"Jan 23, 2024",$0.4418,$0.4481,$0.4083,$0.4247,"$90,097,122","$804,074,200"
"Jan 22, 2024",$0.4749,$0.4784,$0.4402,$0.4418,"$78,392,967","$836,328,986"
"Jan 21, 2024",$0.4733,$0.4915,$0.4698,$0.4748,"$73,455,902","$898,826,371"
"Jan 20, 2024",$0.468,$0.4801,$0.4595,$0.4732,"$76,873,185","$895,892,659"
"Jan 19, 2024",$0.4399,$0.476,$0.429,$0.468,"$137,345,908","$885,891,903"
"Jan 18, 2024",$0.4621,$0.4694,$0.4318,$0.4399,"$77,817,623","$832,720,689"
"Jan 17, 2024",$0.4631,$0.4683,$0.4534,$0.4621,"$63,263,885","$874,783,867"
"Jan 16, 2024",$0.4519,$0.4671,$0.4499,$0.4632,"$67,629,957","$876,848,593"
"Jan 15, 2024",$0.4454,$0.4602,$0.4454,$0.4519,"$65,168,321","$855,404,050"
"Jan 14, 2024",$0.4679,$0.4681,$0.4449,$0.4454,"$68,014,576","$843,241,129"
"Jan 13, 2024",$0.4618,$0.4783,$0.4493,$0.4679,"$80,474,783","$885,719,599"
"Jan 12, 2024",$0.4854,$0.4956,$0.4467,$0.4618,"$118,880,732","$874,224,456"
"Jan 11, 2024",$0.4647,$0.4921,$0.4635,$0.4855,"$127,401,255","$919,078,345"
"Jan 10, 2024",$0.4333,$0.4738,$0.4223,$0.4645,"$104,677,471","$879,380,751"
"Jan 09, 2024",$0.4536,$0.454,$0.4172,$0.4332,"$55,912,242","$820,151,210"
"Jan 08, 2024",$0.4267,$0.4542,$0.3981,$0.4536,"$85,690,877","$858,707,796"
"Jan 07, 2024",$0.4533,$0.4634,$0.424,$0.4267,"$46,358,182","$807,823,486"
"Jan 06, 2024",$0.461,$0.4612,$0.4295,$0.4533,"$66,889,291","$858,129,317"
"Jan 05, 2024",$0.4762,$0.4799,$0.4433,$0.461,"$97,720,155","$872,733,995"
"Jan 04, 2024",$0.4674,$0.4778,$0.4612,$0.4762,"$97,031,089","$901,543,163"
"Jan 03, 2024",$0.5289,$0.5378,$0.4418,$0.4674,"$146,207,802","$884,779,233"
"Jan 02, 2024",$0.5398,$0.5504,$0.5249,$0.5289,"$90,985,844","$1,001,335,109"
"Jan 01, 2024",$0.5209,$0.5405,$0.517,$0.5398,"$87,899,199","$1,021,881,465"
"Dec 31, 2023",$0.5167,$0.5317,$0.5124,$0.5206,"$75,472,097","$985,513,306"
"Dec 30, 2023",$0.5157,$0.5206,$0.5062,$0.5167,"$67,912,487","$978,215,991"
"Dec 29, 2023",$0.5301,$0.5389,$0.5056,$0.5157,"$109,677,664","$976,233,994"
"Dec 28, 2023",$0.5555,$0.5641,$0.5236,$0.5302,"$99,798,303","$1,003,663,034"
"Dec 27, 2023",$0.5592,$0.5627,$0.5325,$0.5554,"$106,282,847","$1,051,403,336"
"Dec 26, 2023",$0.561,$0.6045,$0.5299,$0.5592,"$239,104,790","$1,058,597,200"
"Dec 25, 2023",$0.5415,$0.5706,$0.5241,$0.561,"$192,661,979","$1,062,118,698"
"Dec 24, 2023",$0.5148,$0.5528,$0.5083,$0.5416,"$147,485,118","$1,025,281,034"
"Dec 23, 2023",$0.528,$0.5299,$0.5104,$0.5147,"$70,909,085","$974,438,325"
"Dec 22, 2023",$0.5215,$0.5285,$0.5095,$0.5281,"$83,829,839","$999,736,380"
