Date,Typical Price
2023/1/27,0.6752
2023/1/26,0.6798
2023/1/25,0.6815
2023/1/24,0.685
2023/1/23,0.7265
2023/1/22,0.725
2023/1/21,0.7363
2023/1/20,0.6985
2023/1/19,0.6511
2023/1/18,0.6614
2023/1/17,0.7062
2023/1/16,0.7002
2023/1/15,0.658
2023/1/14,0.5833
2023/1/13,0.4945
2023/1/12,0.4069
2023/1/11,0.3975
2023/1/10,0.403
2023/1/9,0.3991
2023/1/8,0.3683
2023/1/7,0.3456
2023/1/6,0.3234
2023/1/5,0.3241
2023/1/4,0.3194
2023/1/3,0.309
2023/1/2,0.3068
2023/1/1,0.2983
