Date,Open*,High,Low,Close**,Volume,Market Cap
2023-12-28,$0.5555,$0.5641,$0.5236,$0.5302,99798303.0,1003663034.0
2023-12-29,$0.5301,$0.5389,$0.5056,$0.5157,109677664.0,976233994.0
2023-12-30,$0.5157,$0.5206,$0.5062,$0.5167,67912487.0,978215991.0
2023-12-31,$0.5167,$0.5317,$0.5124,$0.5206,75472097.0,985513306.0
2024-01-01,$0.5209,$0.5405,$0.517,$0.5398,87899199.0,1021881465.0
2024-01-02,$0.5398,$0.5504,$0.5249,$0.5289,90985844.0,1001335109.0
2024-01-03,$0.5289,$0.5378,$0.4418,$0.4674,146207802.0,884779233.0
2024-01-04,$0.4674,$0.4778,$0.4612,$0.4762,97031089.0,901543163.0
2024-01-05,$0.4762,$0.4799,$0.4433,$0.461,97720155.0,872733995.0
2024-01-06,$0.461,$0.4612,$0.4295,$0.4533,66889291.0,858129317.0
2024-01-07,$0.4533,$0.4634,$0.424,$0.4267,46358182.0,807823486.0
2024-01-08,$0.4267,$0.4542,$0.3981,$0.4536,85690877.0,858707796.0
2024-01-09,$0.4536,$0.454,$0.4172,$0.4332,55912242.0,820151210.0
2024-01-10,$0.4333,$0.4738,$0.4223,$0.4645,104677471.0,879380751.0
2024-01-11,$0.4647,$0.4921,$0.4635,$0.4855,127401255.0,919078345.0
2024-01-12,$0.4854,$0.4956,$0.4467,$0.4618,118880732.0,874224456.0
2024-01-13,$0.4618,$0.4783,$0.4493,$0.4679,80474783.0,885719599.0
2024-01-14,$0.4679,$0.4681,$0.4449,$0.4454,68014576.0,843241129.0
2024-01-15,$0.4454,$0.4602,$0.4454,$0.4519,65168321.0,855404050.0
2024-01-16,$0.4519,$0.4671,$0.4499,$0.4632,67629957.0,876848593.0
2024-01-17,$0.4631,$0.4683,$0.4534,$0.4621,63263885.0,874783867.0
2024-01-18,$0.4621,$0.4694,$0.4318,$0.4399,77817623.0,832720689.0
2024-01-19,$0.4399,$0.476,$0.429,$0.468,137345908.0,885891903.0
2024-01-20,$0.468,$0.4801,$0.4595,$0.4732,76873185.0,895892659.0
2024-01-21,$0.4733,$0.4915,$0.4698,$0.4748,73455902.0,898826371.0
2024-01-22,$0.4749,$0.4784,$0.4402,$0.4418,78392967.0,836328986.0
2024-01-23,$0.4418,$0.4481,$0.4083,$0.4247,90097122.0,804074200.0
2024-01-24,$0.4248,$0.4449,$0.4215,$0.4392,66690754.0,831506291.0
2024-01-25,$0.4392,$0.4395,$0.4264,$0.4334,47105756.0,820443782.0
2024-01-26,$0.4334,$0.4514,$0.429,$0.451,52654482.0,853824560.0
2024-01-27,$0.4511,$0.4558,$0.4427,$0.4544,41498420.0,860171123.0
2024-01-28,$0.4544,$0.4627,$0.4425,$0.4456,43612505.0,843526092.0
2024-01-29,$0.4456,$0.4602,$0.44,$0.4589,44985276.0,868770844.0
2024-01-30,$0.4589,$0.4608,$0.4439,$0.445,60824795.0,842432406.0
2024-01-31,$0.445,$0.4466,$0.4288,$0.4317,57930305.0,817183114.0
2024-02-01,$0.4316,$0.4365,$0.4235,$0.4356,51450817.0,824718282.0
2024-02-02,$0.4356,$0.4462,$0.4341,$0.4409,46898278.0,834659973.0
2024-02-03,$0.4409,$0.4444,$0.4359,$0.4395,36098871.0,832022117.0
2024-02-04,$0.4395,$0.4396,$0.4298,$0.4308,27540695.0,815451321.0
2024-02-05,$0.4308,$0.4401,$0.4253,$0.4345,37769108.0,822457001.0
2024-02-06,$0.4344,$0.4388,$0.4296,$0.4313,38150460.0,816408469.0
